epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.37717553973197937,3.7664661407470703,0.001,0.14711730182170868,3.207185745239258
1,0.43734461069107056,2.079880714416504,0.001,0.31013917922973633,2.0882210731506348
2,0.48756837844848633,1.8403873443603516,0.001,0.42743539810180664,1.7262825965881348
3,0.5251119136810303,1.6980644464492798,0.001,0.5218687653541565,1.4304618835449219
4,0.5683739185333252,1.5343995094299316,0.001,0.583499014377594,1.5329934358596802
5,0.6168572902679443,1.313459873199463,0.001,0.42047715187072754,2.0058135986328125
6,0.6233217120170593,1.2361159324645996,0.001,0.6908548474311829,0.9191109538078308
7,0.6844853162765503,1.0725960731506348,0.001,0.7147117257118225,0.8107176423072815
8,0.6924415826797485,1.0078153610229492,0.001,0.5646123290061951,1.6490051746368408
9,0.710591733455658,0.9424474835395813,0.001,0.7286282181739807,0.7732919454574585
10,0.7424166798591614,0.8473889231681824,0.001,0.6699801087379456,1.0871820449829102
11,0.747886598110199,0.8185096979141235,0.001,0.6292246580123901,1.452728509902954
12,0.7595723271369934,0.7760924100875854,0.001,0.7852882742881775,0.6867021322250366
13,0.7846842408180237,0.7148125171661377,0.001,0.6640158891677856,0.9821945428848267
14,0.79612135887146,0.700989305973053,0.001,0.7852882742881775,0.6775603890419006
15,0.8040775656700134,0.6430367231369019,0.001,0.7793240547180176,0.6859222650527954
16,0.8227249979972839,0.5993503332138062,0.001,0.7644135355949402,0.6974203586578369
17,0.8276976346969604,0.5861477255821228,0.001,0.7097415328025818,0.9242964386940002
18,0.8438587784767151,0.5453089475631714,0.0005,0.8320079445838928,0.5211488008499146
19,0.8647438883781433,0.4252018630504608,0.0005,0.8399602174758911,0.4954911172389984
20,0.8836399912834167,0.3738793730735779,0.0005,0.8131212592124939,0.5654072165489197
21,0.8794132471084595,0.3855416476726532,0.0005,0.8320079445838928,0.5211459398269653
22,0.8903530836105347,0.35651272535324097,0.0005,0.8280318379402161,0.5289028286933899
23,0.8998010754585266,0.3450009226799011,0.00025,0.8479125499725342,0.5220293998718262
24,0.9055196642875671,0.29812851548194885,0.00025,0.8449304103851318,0.4735458791255951
25,0.9094977378845215,0.2909746468067169,0.00025,0.8429423570632935,0.5080561637878418
26,0.9209348559379578,0.25365111231803894,0.00025,0.8479125499725342,0.4786745011806488
27,0.9189457893371582,0.2651612162590027,0.00025,0.8339959979057312,0.5334323048591614
28,0.9308801293373108,0.23200304806232452,0.000125,0.8508946299552917,0.4856363534927368
29,0.9249129891395569,0.23527659475803375,0.000125,0.8548707962036133,0.4715951979160309
